officesupplyid,name,Price,Description,Quantity,isSoldOut,Image
0,Pilot G2 Retractable Roller Gel Pen Bold 1.0mm Black 2Pack,5.98,Super smooth writing. Longest writing gel ink pen. Comfortable rubber grip. Retractable & refillable.,0,FALSE,officesupplies/gelPen.png
1,Bic,1.49,BIC,0,TRUE,officesupplies/BigBic.png
2,Zebra F301 Ballpoint Retractable Pen 0.7mm Black 2Pack,6.98,"The Original 3Series features a sleek, sophisticated appearance housed in a rugged steel body for lasting performance at a value. The F301 Ballpoint Retractable Pen is ideally sized for pocket transportation and features a metal clasp.",0,FALSE,/../officesupplies/pen.png
3,Five Star 4Pocket Paper Folder Assorted Colors,2.98,"This durable, laminated paper folder is designed as a waterresistant way to keep all your papers together. It features two horizontal and two vertical folders to keep loose papers secure. It is 3hole punched for easy binder storage.",0,FALSE,/../officesupplies/5star.png
4,"Swingline Stapler, Light Duty Desktop Stapler, 20 Sheet Capacity, Black (S7040501)",6.99,"DURABLE METAL STAPLER – Classic stapler with all-metal construction is designed for durability. Strong, basic stapler meets all of your regular stapling needs.",0,FALSE,/../officesupplies/stapler.png
5,"Post-it Super Sticky Notes, 3x3 in, 6 Pads, 2x the Sticking Power, Energy Boost Collection, Bright Colors (Orange, Pink, Blue, Green,Yellow),Recyclable (654-6SSAU)",11.79,"3 in x 3 in, Energy Boost Collection",0,TRUE,/../officesupplies/post-it.png
6,JAM PAPER Multi-Purpose Precision Scissors - 8 Inch - Blue - Ergonomic Handle & Stainless Steel Blades - Sold Individually,13.99,All-Purpose Straight Blade Scissors | Color: Bright Blue,0,FALSE,/../officesupplies/skizzors.png
7,"Rolling Magnetic Whiteboard 48 x 36 - Large Portable Dry Erase Board with Stand - Double Sided Easel Style Whiteboard with Wheels - Mobile Standing Whiteboard for Office, Classroom & Home",179.84,"𝗛𝗜𝗚𝗛𝗘𝗦𝗧-𝗤𝗨𝗔𝗟𝗜𝗧𝗬 𝗢𝗡 𝗧𝗛𝗘 𝗠𝗔𝗥𝗞𝗘𝗧: Kamelleo’s dry-erase whiteboards are the highest quality available on the market. While other whiteboard brands use low quality materials, Kamelleo’s mobile dry-erase boards are made to last a lifetime!",0,FALSE,/../officesupplies/whiteBoard.png
8,"EXPO Low Odor Dry Erase Marker Starter Set, Fine Tip, Assorted Colors, 7-Piece Kit",7.64,"Consistent, skip-free writing, vibrant color options and low-odor ink make the kit perfect for classrooms and offices",0,FALSE,/../officesupplies/dryEraseMarkers.png
9,"Shengshou 3x3x3 Puzzle Cube, Black",5.9,Smooth turning and cornering for speed cubing,0,FALSE,officesupplies/cube.png
